FID,CIS20CD,LAD20CDS,RGN19CD,RGN19NM
1,J06000101,E06000057,E12000001,North East
2,J06000102,E08000022,E12000001,North East
3,J06000103,E08000021,E12000001,North East
4,J06000104,E08000023_E08000024_E08000037,E12000001,North East
5,J06000105,E06000005_E06000047,E12000001,North East
6,J06000106,E06000001_E06000002_E06000003_E06000004,E12000001,North East
7,J06000107,E07000026_E07000027_E07000028_E07000029_E07000030_E07000031,E12000002,North West
8,J06000108,E06000009_E07000119_E07000121_E07000123_E07000124_E07000126_E07000128,E12000002,North West
9,J06000109,E07000117_E07000120_E07000122_E07000125_E08000002,E12000002,North West
10,J06000110,E06000008_E07000118_E08000001,E12000002,North West
11,J06000111,E08000005,E12000002,North West
12,J06000112,E08000004,E12000002,North West
13,J06000113,E07000127_E08000011_E08000012_E08000014,E12000002,North West
14,J06000114,E08000010_E08000013,E12000002,North West
15,J06000115,E08000006,E12000002,North West
16,J06000116,E08000008,E12000002,North West
17,J06000117,E08000003,E12000002,North West
18,J06000118,E06000006_E06000007_E08000009,E12000002,North West
19,J06000119,E08000007,E12000002,North West
20,J06000120,E08000015,E12000002,North West
21,J06000121,E06000049,E12000002,North West
22,J06000122,E06000050,E12000002,North West
23,J06000123,E07000163_E07000164_E07000165_E07000166_E07000167_E07000168_E07000169,E12000003,Yorkshire and The Humber
24,J06000124,E06000014,E12000003,Yorkshire and The Humber
25,J06000125,E06000011,E12000003,Yorkshire and The Humber
26,J06000126,E08000032,E12000003,Yorkshire and The Humber
27,J06000127,E08000035,E12000003,Yorkshire and The Humber
28,J06000128,E06000010,E12000003,Yorkshire and The Humber
29,J06000129,E08000033,E12000003,Yorkshire and The Humber
30,J06000130,E08000036,E12000003,Yorkshire and The Humber
31,J06000131,E08000034,E12000003,Yorkshire and The Humber
32,J06000132,E08000016,E12000003,Yorkshire and The Humber
33,J06000133,E06000012_E06000013_E08000017_E08000018,E12000003,Yorkshire and The Humber
34,J06000134,E08000019,E12000003,Yorkshire and The Humber
35,J06000135,E07000170_E07000171_E07000172_E07000173_E07000174_E07000175_E07000176,E12000004,East Midlands
36,J06000136,E07000136_E07000137_E07000138_E07000139_E07000140_E07000141_E07000142,E12000004,East Midlands
37,J06000137,E07000032_E07000033_E07000034_E07000035_E07000036_E07000037_E07000038_E07000039,E12000004,East Midlands
38,J06000138,E06000018,E12000004,East Midlands
39,J06000139,E06000015,E12000004,East Midlands
40,J06000140,E07000129_E07000130_E07000131_E07000132_E07000133_E07000134_E07000135,E12000004,East Midlands
41,J06000141,E06000016,E12000004,East Midlands
42,J06000142,E06000017_E07000150_E07000151_E07000152_E07000153_E07000154_E07000155_E07000156,E12000004,East Midlands
43,J06000143,E06000020_E06000021_E07000197,E12000005,West Midlands
44,J06000144,E07000192_E07000193_E07000194_E07000195_E07000196_E07000198_E07000199,E12000005,West Midlands
45,J06000145,E06000051,E12000005,West Midlands
46,J06000146,E08000030,E12000005,West Midlands
47,J06000147,E08000031,E12000005,West Midlands
48,J06000148,E08000028,E12000005,West Midlands
49,J06000149,E08000025,E12000005,West Midlands
50,J06000150,E08000029,E12000005,West Midlands
51,J06000151,E08000026,E12000005,West Midlands
52,J06000152,E07000234_E07000236_E08000027,E12000005,West Midlands
53,J06000153,E07000218_E07000219_E07000220_E07000221_E07000222,E12000005,West Midlands
54,J06000154,E06000019_E07000235_E07000237_E07000238_E07000239,E12000005,West Midlands
55,J06000155,E07000143_E07000144_E07000145_E07000146_E07000147_E07000148_E07000149,E12000006,East of England
56,J06000156,E06000031,E12000006,East of England
57,J06000157,E07000008_E07000009_E07000010_E07000011_E07000012,E12000006,East of England
58,J06000158,E07000244,E12000006,East of England
59,J06000159,E07000076_E07000200_E07000202_E07000203_E07000245,E12000006,East of England
60,J06000160,E06000032_E06000055_E06000056,E12000006,East of England
61,J06000161,E07000095_E07000096_E07000098_E07000099_E07000102_E07000103_E07000240_E07000241_E07000242_E07000243,E12000006,East of England
62,J06000162,E06000033_E07000067_E07000070_E07000071_E07000074_E07000075_E07000077,E12000006,East of England
63,J06000163,E06000034_E07000066_E07000068_E07000069_E07000072_E07000073,E12000006,East of England
64,J06000164,E09000010,E12000007,London
65,J06000165,E09000003,E12000007,London
66,J06000166,E09000031,E12000007,London
67,J06000167,E09000015,E12000007,London
